"Name","Address","Zip","Amount"
FAST EDDIE'S NEIGHBORHOOD BILL,"2535 BABCOCK RD               ",78229,728181
"THE OLIVE GARDEN #1162        ","13730I 281 N                  ",78232,411853
"CLUB ESSENCE                  ","1010 N MAIN AVE               ",78212,646451
"LION & ROSE                   ","842 NW LOOP 410 STE 500       ",78216,1201427
"T.G.I. FRIDAY'S               ","111 SW LOOP 410               ",78245,426594
"MAMA MARGIE'S #2              ","9950 IH 10 W                  ",78230,472037
"HILL COUNTRY BEVERAGES INC    ","318 E HOUSTON ST              ",78205,812880
"BONNIE JEAN'S COCKTAILS       ","5118 AND 5120 FREDERICKSBURG  ",78229,332467
"LUCE RESTORANTE E ENOTECA     ","11255 HUEBNER RD STE 200      ",78230,317765
"THE AMERICAN LEGION WILLIAM J ","3290 GROSSENBACHER LN         ",78245,68861
"QUARRY HOFBRAU AT THE RIM     ","18403 W INTERSTATE 10         ",78257,1462518
"BOND'S 007 ROCK BAR           ","450 SOLEDAD ST                ",78205,492766
"PAPPASITO'S CANTINA           ","10501 W IH 10                 ",78230,1778721
"SHERATON GUNTER HOTEL         ","205 E HOUSTON ST              ",78205,285419
"BLU                           ","126 W RECTOR ST STE 136       ",78216,406117
"TONY ROMA'S                   ","849 E COMMERCE ST STE 171     ",78205,295437
"FORMOSA GARDEN RESTAURANT     ","1011 NE LOOP 410              ",78209,80263
"54TH STREET GRILL & BAR       ","22902 US HIGHWAY 281 N        ",78258,783255
"HARD ROCK CAFE                ","111 W CROCKETT ST STE 210     ",78205,1545765
"KEMS RESTAURANT & BAR         ","19280 REDLAND RD              ",78259,42591
"KOREA HOUSE LOUNGE            ","4453 WALZEM RD                ",78218,97938
"BOGART'S COCKTAILS            ","8323 N CULEBRA SUITE 106      ",78251,246721
"MARTY'S COCKTAILS             ","603 ISOM RD STE 101           ",78216,300337
CALCUTTA'S SCENIC LOOP CAFE IN,"25615 BOERNE STAGE RD         ",78255,378396
"FREDERICK'S BISTRO            ","14439 NW MILITARY HWY STE 10  ",78231,453688
"MENGER HOTEL                  ","204 ALAMO PLZ                 ",78205,925693
"TAQUERIA MEXICO               ","7167 SOMERSET RD              ",78211,242412
"WHISKEY SMITH                 ","6310 CALLAGHAN RD             ",78229,1022982
"TILO TEX MEX                  ","12403 WEST AVE                ",78216,79835
MARIE CALLENDERS RESTAURANT AN,"4788 LOOP 410 NORTHWEST       ",78229,78992
"HARDY OAK ENTERPRISES II, LLC ","927 N LOOP 1604 W # 115       ",78232,36616
"HUHOT MONGOLIAN GRILL         ","12710 IH 10 W STE 100 (UNIV   ",78249,28978
"410 DINER                     ","8315 BROADWAY ST              ",78209,42652
"POLLY ESTHER'S                ","212 COLLEGE ST                ",78205,1746168
"THIRSTY HORSE SALOON          ","2335 NW MILITARY HWY          ",78231,2035806
"SPECTRUM                      ","226 N SAINT MARYS ST          ",78205,74899
"KENNEDY'S                     ","19179 BLANCO RD STE 113       ",78258,1182325
"CLUB FUEGO                    ","7503 HWY 90 W                 ",78227,111541
"MOTOR TRANSPORT POST 1533 VFW ","107-109 ELM HURST             ",78209,176291
"EMILY'S OASIS                 ","705 E HOUSTON STREET          ",78205,358355
"LILY'S KINGS LOUNGE           ","111 WHITEWOOD ST              ",78242,263142
"SAN ANTONIO MENS CLUB         ","8244 INTERCHANGE PKWY         ",78218,2107633
"RAD BAR & GRILL               ","19239 STONE OAK PKWY STE 101  ",78258,161223
"TEXAS DE BRAZIL (SAN ANTONIO) ","313 E HOUSTON ST              ",78205,651148
"WILD GOOSE BAR                ","23535 W INTERSTATE 10 STE 11  ",78257,37997
"MOSES ROSE'S HIDEOUT          ","516 E HOUSTON ST              ",78205,731488
"RICK'S CABARET                ","5418 BREWSTER ST              ",78233,1418686
DOUBLETREE BY HILTON SAN ANTON,"502 W CESAR E CHAVEZ BLVD     ",78207,262440
"CHILI'S GRILL & BAR           ","4983 NW LOOP 410              ",78229,434084
"RIO RIO CANTINA CORPORATION   ","421 E COMMERCE ST STE 102     ",78205,1356579
"AKA SAM'S                     ","330 E GRAYSON ST              ",78215,524182
"TEE'S MIXER                   ","2512 SW LOOP 410 STE 2&3      ",78227,20482
"COURTYARD SAN ANTONIO AIRPORT ","8615 BROADWAY ST              ",78217,53165
"LA FONDA                      ","2415 N MAIN AVE               ",78212,729382
"FRANCO'S ITALIAN RESTAURANT & ","10003 NW MILITARY HWY STE 21  ",78231,185560
"AJUUA                         ","11703 HUEBNER RD STE 208      ",78230,487686
"REPTILEZ VENUE                ","5418 OLD HWY 90               ",78227,2322
"SILO ELEVATED CUISINE AND BAR ","434 N LOOP 1604 W BLDG 1      ",78232,1148940
"LOGAN'S ROADHOUSE             ","12477 IH 10 W                 ",78230,247424
"MAGIC TIME MACHINE            ","902 NE LOOP 410               ",78209,423356
"HEMINGWAYS TAVERN             ","8931 WURZBACH RD              ",78240,301173
"TACOS DON CHENTE              ","1564 N LOOP 1604 E            ",78232,3170
"HENRY'S PUFFY TACOS EXPRESS   ","3202 W WOODLAWN AVE           ",78228,31776
"BIG SAM'S GRILL & BAR         ","13802 EMBASSY ROW STE A       ",78216,316040
"THE BROOKLYNITE               ","516 BROOKLYN AVE              ",78215,762426
BLACK TIE AFFAIRS CATERING INC,"1515 ROGERS AVE               ",78208,170950
