Road,Crosses,Location,Design,Built,Reconstructed,Span-feet,TotalLength,Condition
HUEBNER RD,HUEBNER CREEK,2.75 MI SW OF IH10,Concrete Slab (6 spans),1996,--,26.9,153.9,Functionally Obsolete
E SOUTHCROSS BL EB,SALADO CREEK,0.4 MI E OF PECAN VALLEY,Prestressed Box beam or girders - Multiple (11 spans),1996,--,60,620.1,Functionally Obsolete
E SOUTHCROSS BL WB,SALADO CREEK,0.4 MI E OF PECAN VALLEY,Prestressed Box beam or girders - Multiple (11 spans),1996,--,60,620.1,Functionally Obsolete
WURZBACH PKY EB,WETMORE RD & UP RR,1.04 MI W OF NACOGDOCHES,Steel Stringer/Multi-beam or girder (3 spans),1996,--,190,950.2,Functionally Obsolete
WURZBACH PKY WB,WETMORE RD & UP RR,1.04 MI W OF NACOGDOCHES,Steel Stringer/Multi-beam or girder (3 spans),1996,--,190,950.2,Functionally Obsolete
SH 151 ML,FM 1957 (POTRANCO RD),1.3 MI NW OF IH 410,Prestressed Stringer/Multi-beam or girder,1997,2002,127,234.9,Functionally Obsolete
JUDSON RD,"MKT RR, LOOKOUT RD, DRAW",1.2 MI NW OF IH 35,Prestressed Stringer/Multi-beam or girder (6 spans),1997,--,115.2,670,Functionally Obsolete
THOUSAND OAKS DR,DRAW / PARK RD,0.77 MI NW OF IH 35,Prestressed Stringer/Multi-beam or girder (5 spans),1997,--,125,600.1,Functionally Obsolete
DONELLA NORTH T/A,US 281,0.90 MI S OF LP 1604,Prestressed Stringer/Multi-beam or girder,1998,--,129.9,131.9,Functionally Obsolete
IH 410WB EXIT RAMP,JACKSON KELLER ENT. RAMP,1.04 MI E OF IH 10,Prestressed Stringer/Multi-beam or girder,1998,--,125,674.9,Functionally Obsolete
OVERLOOK PKWY,DRAW,0.70 MI W OF US 281,Concrete Culvert (10 spans),1998,--,5.9,78.1,Functionally Obsolete
LOOKOUT RD,DRAW,3.40 MI SW OF COUNTY LINE,Concrete Culvert (3 spans),1998,--,6.9,26.9,Functionally Obsolete
MONTGOMERY ROAD,DRAW,0.1 MI W OF GLEN MONT,Concrete Culvert (6 spans),1999,--,6.9,53.2,Functionally Obsolete
WURZBACH PKY EB,NACOGDOCHES RD,0.97 MI E OF WETMORE RD,Prestressed Stringer/Multi-beam or girder (3 spans),1999,--,100.1,270,Functionally Obsolete
WURZBACH PKY EB,THOUSAND OAKS RD,1.05 MI E PERRIN BEITEL,Prestressed Stringer/Multi-beam or girder (3 spans),1999,--,109.9,279.9,Functionally Obsolete
WURZBACH PKY WB,THOUSAND OAKS DRIVE,1.05 MI E PERRIN BEITEL,Prestressed Stringer/Multi-beam or girder (3 spans),1999,--,109.9,279.9,Functionally Obsolete
N U-TURN @ MEDICAL,IH 10,0.65 MI S OF WURZBACH RD,Prestressed Stringer/Multi-beam or girder (2 spans),1999,--,89.9,227,Functionally Obsolete
MEDICAL DR,IH 10,0.70 MI S OF WURZBACH RD,Prestressed Stringer/Multi-beam or girder (2 spans),1999,--,89.9,227,Functionally Obsolete
S U-TURN @ MEDICAL,IH 10,0.75 MI S OF WURZBACH RD,Prestressed Stringer/Multi-beam or girder (2 spans),1999,--,89.9,227,Functionally Obsolete
IH 10 EB,WURZBACH RD,4.80 MI S OF LP 1604,Prestressed Box beam or girders - Multiple (4 spans),1999,--,60,220.2,Functionally Obsolete
IH 10 WB,WURZBACH RD,4.80 MI S OF LP 1604,Prestressed Box beam or girders - Multiple (4 spans),1999,--,60,220.2,Functionally Obsolete
AIRPORT BLVD WTA,IH 410,0.1 MI E OF US 281,Prestressed Box beam or girders - Multiple (2 spans),2000,--,81,163.1,Functionally Obsolete
BABCOCK RD,LEON CREEK,0.8 MI S OF HAUSMAN RD,Prestressed Stringer/Multi-beam or girder (6 spans),2000,--,73.2,440,Functionally Obsolete
HARDY OAKS BLVD,DRAW,1.30 MI N OF STONE OAK,Concrete Culvert (4 spans),2000,--,7.9,36.1,Functionally Obsolete
STAHL RD,SALADO CREEK,0.2 MI E OF BULVERDE RD,Concrete Culvert (10 spans),2000,--,9.8,106,Functionally Obsolete
MONTGOMERY DR,DRAW,0.07 MI E OF WALZEM RD.,Concrete Culvert (4 spans),2000,--,5.9,30.8,Functionally Obsolete
NB CONN TO AIRPORT,AIRPORT BLVD,AT US 281 AND IH 410,Prestressed Stringer/Multi-beam or girder (16 spans),2001,--,118.1,1824.2,Functionally Obsolete
JONES MALTSBGR WTA,IH 410,0.90 MI E OF SPUR 537,Prestressed Box beam or girders - Multiple (2 spans),2001,--,92.9,185,Functionally Obsolete
JONES MALTSBERGER,IH 410,0.90 MI E OF SPUR 537,Prestressed Box beam or girders - Multiple (2 spans),2001,--,92.9,185,Functionally Obsolete
JONES MALTSBGR ETA,IH 410,0.90 MI E OF SPUR 537,Prestressed Box beam or girders - Multiple (2 spans),2001,--,92.9,185,Functionally Obsolete
US 281 NB EXIT RP,IH 410 MAINLANES,US 281 INTERCHANGE,Prestressed Stringer/Multi-beam or girder (10 spans),2001,--,118.1,1039.1,Functionally Obsolete
IH410EB TO IH10EB,IH 410 EB COLLECTOR,IH 10 & IH 410 INTERCH,Steel Stringer/Multi-beam or girder (5 spans),2002,--,214.9,2465,Functionally Obsolete
WB U-TURN @ BLANCO,LP 1604,3.26 MI E OF FM 1535,Prestressed Stringer/Multi-beam or girder (2 spans),2002,--,109.9,206,Functionally Obsolete
EB TA AT BLANCO RD,LP 1604,3.26 MI E OF FM 1535,Prestressed Stringer/Multi-beam or girder (2 spans),2002,--,109.9,206,Functionally Obsolete
E EVANS RD,ALAMO CEMENT CO HAUL RD,4.35 MI E OF BULVERDE RD,Prestressed Box beam or girders - Multiple (2 spans),2002,--,49.9,103,Functionally Obsolete
HARDY OAKS BLVD,DRAW,1.80 MI N OF STONE OAK,Concrete Culvert (8 spans),2002,--,8.9,70.9,Functionally Obsolete
BRAUN RD,HELOTES CREEK,1.10 MI E OF FM 1560,Prestressed Stringer/Multi-beam or girder (4 spans),2003,--,75.1,299.9,Functionally Obsolete
LOCKHILL-SELMA RD.,DRAIN,0.30 MI SE OF LOOP 1604,Concrete Culvert (8 spans),2003,--,4.9,44,Functionally Obsolete
LOCKHILL-SELMA RD.,DRAIN,0.9 MI S OF LOOP 1604,Concrete Culvert (6 spans),2003,--,4.9,33.1,Functionally Obsolete
LOCKHILL-SELMA RD.,DRAIN,1.4 MI S OF LOOP 1604,Concrete Culvert (4 spans),2003,--,5.9,25.9,Functionally Obsolete
IH 410 WB CONN,IH 410 WBFR & ENTR RAMP,.5 MI W OF BLANCO RD,Prestressed Stringer/Multi-beam or girder (5 spans),2003,--,115.2,674.9,Functionally Obsolete
IH 410 WB EXIT RMP,IH 410 WB ENTRANCE RAMP,1.65 MI W OF US 281,Prestressed Stringer/Multi-beam or girder (10 spans),2003,--,85,762.2,Functionally Obsolete
