Name,Address,Zip,Amount
WILD ZEBRA THE GENTLEMEN'S PARADISE,2525 NE LOOP 410 STE 110,78217,478001
CHACHO'S & CHALUCCI'S,8614 PERRIN BEITEL RD,78217,1517873
LA MARGINAL,2447 NACOGDOCHES RD,78217,47124
ARAMARK SPORTS AND ENTERTAINMENT SERVICES OF TEXAS,211 AT AND T CENTER PKWY,78219,13610175
ARSA - DELIXIAS MARIMEX,17776 BLANCO RD,78232,22366
ACADIANA CAFE,1289 SW LOOP 410,78227,79769
SPARKY'S PUB,1416 N MAIN AVE,78212,2155460
LA GLORIA,9800 AIRPORT BLVD,78216,717947
FRESH HORIZONS CREATIVE CATERING,2020 BROADWAY ST,78215,50541
BAR FLYS,8503 BROADWAY ST STE 110,78217,211008
SHOGUN STEAK HOUSE,5500 BABCOCK RD STE 102,78240,23009
TEXAS DE BRAZIL (SAN ANTONIO) CORPORATION,313 E HOUSTON ST,78205,573919
54TH STREET,7307 S NEW BRAUNFELS,78223,1276399
SUSHI EXPRESS,19903 STONE OAK PKWY STE 208,78258,0
VFW POST 837,4436 VALLEYFIELD,78222,169358
Z GOLF BRIGGS RANCH,2818 RUSTLERS TRL,78245,20048
THE WHITE RABBIT / PIZZERIA,2410 N SAINT MARYS ST,78212,195492
NEW ORLEANS BAR,226 W BITTERS RD STE 105,78216,251442
LUCKY MONKEY SPORTS BAR & LOUNGE,8143 LATIGO PLZ,78227,160207
CLUB RIO,13307 SAN PEDRO AVE STE A,78216,877387
P F CHANG'S CHINA BISTRO,255 E BASSE RD STE 1200,78209,669264
TIFFANY,338 VALLEY HI DR,78227,407617
CHART HOUSE,701 BOWIE ST,78205,1780171
"R & J LOUNGE, LLC                                 ",18086 PLEASANTON RD,78221,477042
MANSION DELMR RESTAURANT & BAR,6890 NW LOOP 410,78238,0
PEGASUS,1402 N MAIN AVE,78212,1335518
OUNCE STEAKHOUSE,1401 N LOOP 1604 W STE 105,78258,0
"CABANA BEVERAGES, INC.                            ",1633 SW MILITARY DRIVE,78221,84358
FPSA SIDEBAR BISTRO,524 S SAINT MARYS ST,78205,9838
PLAY SPORTS & KITCHEN,18322 SONTERRA PL STE 103,78258,276331
DAKOTAS DIXIE ROSE,17680 INTERSTATE 35 S,78052,488068
COURTYARD SAN ANTONIO,11605 STATE HIGHWAY 151,78251,98838
LA MARGARITA RESTAURANT AND BAR,120 PRODUCE ROW,78207,1412257
CHILI'S GRILL & BAR,14570 FORUM PARKWAY,78154,415623
EDDIE'S TACO HOUSE BAR & GRILL,3755 THOUSAND OAKS DR,78247,153191
SALTGRASS STEAKHOUSE,502 RIVER WALK ST,78205,1336294
LAS PALAPAS ALAMO RANCH,5603 W LOOP 1604 N,78253,213654
TOPGOLF USA SAN ANTONIO,5539 N LOOP 1604 W,78249,0
DILLO,214 LOSOYA ST,78205,321848
HOSPITALITY INTERNATIONAL INC,600 S SANTA ROSA,78204,64328
TUCKER'S KOZY KORNER LLC,1338 E HOUSTON ST,78205,390412
HILTON GARDEN INN SAN ANTONIO AIRPORT,12828 SAN PEDRO AVE,78216,74623
THE PARK SPORTS BAR,6565 BABCOCK RD STE 9&10,78249,324638
FRED BROCK POST NO 828 THE AMERICAN LEGION,3415 MARTIN LUTHER KING DR,78220,84875
SENOR CANCUN,2502 BLANCO RD,78212,62818
AMERICAN LEGION SESQUINCENTENNIAL POST #592,1948 AUSTIN HWY,78218,117498
CABANA BEVERAGES,19231 STONE OAK PKWY,78258,38181
54TH STREET,8111 PAT BOOKER RD,78233,0
"CABANA BEVERAGES, INC.                            ",180 BITTERS RD,78216,25914
HOT JOY,1014 S ALAMO ST,78210,578025
LUNA ROSA RESTAURANT Y TAPAS,2603 SE MILITARY DR STE 107,78223,0
WEB HOUSE CAFE & BAR,320 BLANCO RD,78212,6385
HOOTERS OF SAN ANTONIO N,8527 WURZBACH RD,78240,939526
OAK HILLS TAVERN,7920A FREDERICKSBURG RD FRNT BLDG,78229,269392
REBAR,8134 BROADWAY ST,78209,784252
TACO CABANA,920 SE MILITARY DRIVE,78214,61442
LOS CUCOS MEXICAN CAFE,226 W BITTERS STE 126,78216,0
CHIPOTLE MEXICAN GRILL,11411 BANDERA RD STE 101,78250,11981
APPLEJAM BEVERAGE INC.,11605 W FM 1604 NORTH,78250,464868
CANDILEJAS RESTAURANT & BAR,725 AUSTIN ST,78215,26144
TINK-A-TAKO # 1,3555 FREDERICKSBURG RD,78201,138194
TACO HAVEN,1032 S PRESA ST,78210,161370
210 CEVICHE,9502 W INTERSTATE 10 STE 101,78230,304772
ALDALO'S MEXICAN CUISINE,1174 E COMMERCE ST STE 2,78205,62931
MANGO'S SPORTS BAR,115 GENERAL KRUEGER BLVD,78213,11598
SPURR 122 COCKTAILS,10620 S US HIGHWAY 181,78223,406204
EMILY'S OASIS,705 E HOUSTON STREET,78205,375607
CHUY'S,15639 W INTERSTATE 10,78249,768322
FLOORE'S COUNTRY STORE,14464 BANDERA,78023,1256375
URBAN TACO,290 E BASSE RD STE 105,78209,340956
DREW'S,18740 STONE OAK PKWY,78258,513743
ANNE MARIE'S AT DEVONSHIRE PLACE,12475 STARCREST DR STE 102,78216,72169
TAQUERIA JIMADOR,1106 VANCE JACKSON RD,78201,3876
54TH STREET GRILL & BAR,5722 W LOOP 1604 N,78251,1150296
MALIBU SHACK GRILL,5720 BANDERA RD,78238,273130
ASIANA KARAOKE CLUB INCORPORATED,4408 WALZEM RD,78218,56156
TONIC BAR,5500 BABCOCK RD STE 117,78240,292059
"CABANA BEVERAGES, INC.                            ",8030 CULEBRA ROAD,78251,69994
EL BOSQUE MEXICAN RESTAURANT,12656 WEST AVE,78216,27585
FAJITA TACO PLACE,1816 THOMPSON PL,78226,2604
RITA'S ON THE RIVER PIZZARITA'S,245 E COMMERCE ST STE 100,78205,2356291
"CABANA BEVERAGES, INC.                            ",1533 PAT BOOKER ROAD,78148,37704
GUILLERMOS,618 MCCULLOUGH AVE,78215,26567
ORIGINAL CADILLAC BAR OF NUEVO LAREDO INC,212 S FLORES ST,78204,563701
AMC THEATRES RIVERCENTER #9,849 E COMMERCE ST STE 800,78205,175551
